chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	previously_reported_association
2	2_20225783_21819451	21266752	21266797	21266752	STR_713617	3	AGC	12.33,15.33,17.33	15.33	"{""12.33"": 318040.36, ""15.33"": 656591.53, ""17.33"": 186.13}"	"{""12.33"": 318282, ""15.33"": 656505, ""17.33"": 31}"	"{""[12.33, 12.33]"": 52813, ""[12.33, 15.33]"": 212646, ""[12.33, 17.33]"": 10, ""[15.33, 15.33]"": 221919, ""[15.33, 17.33]"": 21}"	"{""12.33"": 222741.64, ""15.33"": 437528.93, ""17.33"": 105.43}"	"{""12.33"": 223079, ""15.33"": 437285, ""17.33"": 12}"	"{""[12.33, 12.33]"": 37795, ""[12.33, 15.33]"": 147487, ""[12.33, 17.33]"": 2, ""[15.33, 15.33]"": 144894, ""[15.33, 17.33]"": 10}"	0.00015965147128302662	0.4474103026435102	0.9230053175258084	0.4208230005749862	"{""12.33"": 1.0, ""15.33"": 1.0, ""17.33"": 0.3}"	1.6800000000000002e-235	-0.024762883862708487	-0.04968682323878553	1.0	False
2	2_64762288_65054727	64921115	64921126	64921115	STR_739560	1	T	11.0,12.0,13.0,14.0	12.0	"{""11.0"": 998.13, ""12.0"": 289241.09, ""13.0"": 651719.47, ""14.0"": 32859.31}"	"{""11.0"": 864, ""12.0"": 291801, ""13.0"": 653350, ""14.0"": 28803}"	"{""[11.0, 11.0]"": 11, ""[11.0, 12.0]"": 270, ""[11.0, 13.0]"": 564, ""[11.0, 14.0]"": 8, ""[12.0, 12.0]"": 43813, ""[12.0, 13.0]"": 195236, ""[12.0, 14.0]"": 8669, ""[13.0, 13.0]"": 219150, ""[13.0, 14.0]"": 19250, ""[14.0, 14.0]"": 438}"	"{""11.0"": 179.32, ""12.0"": 196282.69, ""13.0"": 441010.55, ""14.0"": 22903.44}"	"{""11.0"": 111, ""12.0"": 198101, ""13.0"": 442005, ""14.0"": 20159}"	"{""[11.0, 12.0]"": 37, ""[11.0, 13.0]"": 73, ""[11.0, 14.0]"": 1, ""[12.0, 12.0]"": 29593, ""[12.0, 13.0]"": 132798, ""[12.0, 14.0]"": 6080, ""[13.0, 13.0]"": 147817, ""[13.0, 14.0]"": 13500, ""[14.0, 14.0]"": 289}"	0.03495396561958641	0.4610852308077592	1.0645450053490495	0.394302608346167	"{""11.0"": 0.9, ""12.0"": 1.0, ""13.0"": 0.98, ""14.0"": 0.9}"	2.27e-09	0.01262474521219037	0.009169794438510667	0.234603	False
2	2_202943793_204477252	203437781	203437848	203437777	STR_809821	1	A	50.0,67.0,68.0,69.0,72.0,76.0	68.0	"{""50.0"": 0.0, ""67.0"": 0.0, ""68.0"": 718723.25, ""69.0"": 548.67, ""72.0"": 253315.73, ""76.0"": 2231.28}"	"{""68.0"": 718991, ""69.0"": 419, ""72.0"": 253434, ""76.0"": 1974}"	"{""[68.0, 68.0]"": 266104, ""[68.0, 69.0]"": 288, ""[68.0, 72.0]"": 185013, ""[68.0, 76.0]"": 1482, ""[69.0, 69.0]"": 2, ""[69.0, 72.0]"": 127, ""[72.0, 72.0]"": 33903, ""[72.0, 76.0]"": 488, ""[76.0, 76.0]"": 2}"	"{""50.0"": 0.0, ""67.0"": 0.0, ""68.0"": 491349.38, ""69.0"": 227.09, ""72.0"": 167256.77, ""76.0"": 1543.32}"	"{""68.0"": 491547, ""69.0"": 150, ""72.0"": 167309, ""76.0"": 1370}"	"{""[68.0, 68.0]"": 183163, ""[68.0, 69.0]"": 113, ""[68.0, 72.0]"": 124074, ""[68.0, 76.0]"": 1034, ""[69.0, 72.0]"": 37, ""[72.0, 72.0]"": 21432, ""[72.0, 76.0]"": 334, ""[76.0, 76.0]"": 1}"	0.0026809098130315227	0.3817591336574927	0.8401365376277753	0.0993943416998634	"{""50.0"": ""NaN"", ""67.0"": ""NaN"", ""68.0"": 1.0, ""69.0"": 0.87, ""72.0"": 1.0, ""76.0"": 0.93}"	6.65e-11	0.003779385418014527	0.009466586269686082	0.0716409	False
2	2_202943793_204477252	203594057	203594069	203594057	STR_809958	1	A	11.0,12.0,13.0	13.0	"{""11.0"": 3093.44, ""12.0"": 243391.46, ""13.0"": 728333.16}"	"{""11.0"": 2780, ""12.0"": 243327, ""13.0"": 728711}"	"{""[11.0, 11.0]"": 4, ""[11.0, 12.0]"": 691, ""[11.0, 13.0]"": 2081, ""[12.0, 12.0]"": 30694, ""[12.0, 13.0]"": 181248, ""[13.0, 13.0]"": 272691}"	"{""11.0"": 2201.79, ""12.0"": 160966.41, ""13.0"": 497207.8}"	"{""11.0"": 1970, ""12.0"": 160922, ""13.0"": 497484}"	"{""[11.0, 11.0]"": 4, ""[11.0, 12.0]"": 488, ""[11.0, 13.0]"": 1474, ""[12.0, 12.0]"": 19586, ""[12.0, 13.0]"": 121262, ""[13.0, 13.0]"": 187374}"	0.0033341460016717748	0.3730971804325544	0.8292292599114901	0.9097536592041108	"{""11.0"": 0.83, ""12.0"": 1.0, ""13.0"": 1.0}"	3.09e-10	-0.015067727456155033	-0.0093947511870571	0.140447	False
3	3_58084096_58588689	58388736	58388749	58388736	STR_944608	1	T	14.0,15.0,16.0	14.0	"{""14.0"": 806577.19, ""15.0"": 87387.92, ""16.0"": 80853.0}"	"{""14.0"": 806712, ""15.0"": 87249, ""16.0"": 80857}"	"{""[14.0, 14.0]"": 333980, ""[14.0, 15.0]"": 71534, ""[14.0, 16.0]"": 67218, ""[15.0, 15.0]"": 4397, ""[15.0, 16.0]"": 6921, ""[16.0, 16.0]"": 3359}"	"{""14.0"": 548230.99, ""15.0"": 57545.83, ""16.0"": 54599.18}"	"{""14.0"": 548321, ""15.0"": 57458, ""16.0"": 54597}"	"{""[14.0, 14.0]"": 227554, ""[14.0, 15.0]"": 47732, ""[14.0, 16.0]"": 45481, ""[15.0, 15.0]"": 2542, ""[15.0, 16.0]"": 4642, ""[16.0, 16.0]"": 2237}"	0.08267892836808122	0.2961690809287269	0.8265843915420074	0.8087484557049289	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 1.0}"	8.08e-12	-0.012804110979739061	-0.010775266781022431	0.0553103	False
3	3_69677902_69963613	69820401	69820413	69820401	STR_950324	1	T	12.0,13.0,14.0,15.0	13.0	"{""12.0"": 3400.86, ""13.0"": 345560.62, ""14.0"": 622803.38, ""15.0"": 3053.2}"	"{""12.0"": 2963, ""13.0"": 346479, ""14.0"": 623809, ""15.0"": 1567}"	"{""[12.0, 12.0]"": 6, ""[12.0, 13.0]"": 1029, ""[12.0, 14.0]"": 1917, ""[12.0, 15.0]"": 5, ""[13.0, 13.0]"": 63172, ""[13.0, 14.0]"": 218482, ""[13.0, 15.0]"": 624, ""[14.0, 14.0]"": 201236, ""[14.0, 15.0]"": 938}"	"{""12.0"": 2395.28, ""13.0"": 223465.48, ""14.0"": 432492.59, ""15.0"": 2022.65}"	"{""12.0"": 2102, ""13.0"": 223992, ""14.0"": 433282, ""15.0"": 1000}"	"{""[12.0, 12.0]"": 5, ""[12.0, 13.0]"": 720, ""[12.0, 14.0]"": 1368, ""[12.0, 15.0]"": 4, ""[13.0, 13.0]"": 37858, ""[13.0, 14.0]"": 147202, ""[13.0, 15.0]"": 354, ""[14.0, 14.0]"": 142035, ""[14.0, 15.0]"": 642}"	0.0066900220480453545	0.4544529775790261	0.9685742902865712	0.4114491292158727	"{""12.0"": 0.93, ""13.0"": 0.99, ""14.0"": 0.99, ""15.0"": 0.72}"	2.26e-08	0.012374550025052944	0.008548294665437746	0.0974243	False
3	3_119401349_119943585	119786084	119786099	119786079	STR_973285	1	A	14.0,15.0,16.0,17.0,18.0	16.0	"{""14.0"": 287.88, ""15.0"": 371099.91, ""16.0"": 599493.13, ""17.0"": 1620.46, ""18.0"": 2316.64}"	"{""14.0"": 220, ""15.0"": 372790, ""16.0"": 598830, ""17.0"": 904, ""18.0"": 2074}"	"{""[14.0, 14.0]"": 1, ""[14.0, 15.0]"": 159, ""[14.0, 16.0]"": 42, ""[14.0, 18.0]"": 17, ""[15.0, 15.0]"": 72734, ""[15.0, 16.0]"": 225387, ""[15.0, 17.0]"": 342, ""[15.0, 18.0]"": 1434, ""[16.0, 16.0]"": 186187, ""[16.0, 17.0]"": 560, ""[16.0, 18.0]"": 467, ""[17.0, 17.0]"": 1, ""[18.0, 18.0]"": 78}"	"{""14.0"": 18.84, ""15.0"": 242923.01, ""16.0"": 416051.06, ""17.0"": 1185.35, ""18.0"": 197.76}"	"{""15.0"": 243936, ""16.0"": 415673, ""17.0"": 681, ""18.0"": 86}"	"{""[15.0, 15.0]"": 44929, ""[15.0, 16.0]"": 153786, ""[15.0, 17.0]"": 267, ""[15.0, 18.0]"": 25, ""[16.0, 16.0]"": 130707, ""[16.0, 17.0]"": 412, ""[16.0, 18.0]"": 61, ""[17.0, 17.0]"": 1}"	0.0021229571600737407	0.4673442534959682	0.9630158261720542	0.403505412612926	"{""14.0"": ""NaN"", ""15.0"": 1.0, ""16.0"": 1.0, ""17.0"": 0.86, ""18.0"": 0.83}"	5.91e-10	-0.013365921393566002	-0.00920908243477424	0.104769	False
3	3_122013244_122410218	122281197	122281221	122281192	STR_974661	1	T	24.0,25.0,26.0,27.0	25.0	"{""24.0"": 774.55, ""25.0"": 669862.06, ""26.0"": 304184.72, ""27.0"": 0.0}"	"{""24.0"": 786, ""25.0"": 670470, ""26.0"": 303562}"	"{""[24.0, 24.0]"": 19, ""[24.0, 25.0]"": 531, ""[24.0, 26.0]"": 217, ""[25.0, 25.0]"": 230727, ""[25.0, 26.0]"": 208485, ""[26.0, 26.0]"": 47430}"	"{""24.0"": 4.64, ""25.0"": 453450.82, ""26.0"": 206922.37, ""27.0"": 0.0}"	"{""24.0"": 2, ""25.0"": 453831, ""26.0"": 206543}"	"{""[24.0, 25.0]"": 1, ""[24.0, 26.0]"": 1, ""[25.0, 25.0]"": 156087, ""[25.0, 26.0]"": 141656, ""[26.0, 26.0]"": 32443}"	7.026280697521295e-06	0.4298908396790706	0.8963985489040809	0.3138720947290579	"{""24.0"": 0.97, ""25.0"": 1.0, ""26.0"": 1.0, ""27.0"": ""NaN""}"	2.75e-11	0.016722576585494586	0.010970041765239113	0.405192	False
6	6_34191552_35511872	34788592	34788611	34788589	STR_1226816	1	T	16.0,18.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0	20.0	"{""16.0"": 109710.47, ""18.0"": 0.0, ""20.0"": 645779.25, ""21.0"": 2311.12, ""22.0"": 1568.86, ""23.0"": 142087.82, ""24.0"": 70966.18, ""25.0"": 749.34, ""26.0"": 1665.36}"	"{""16.0"": 109650, ""20.0"": 646357, ""21.0"": 1878, ""22.0"": 680, ""23.0"": 143829, ""24.0"": 70803, ""25.0"": 490, ""26.0"": 1131}"	"{""[16.0, 16.0]"": 6315, ""[16.0, 20.0]"": 73278, ""[16.0, 21.0]"": 195, ""[16.0, 22.0]"": 86, ""[16.0, 23.0]"": 15636, ""[16.0, 24.0]"": 7693, ""[16.0, 25.0]"": 47, ""[16.0, 26.0]"": 85, ""[20.0, 20.0]"": 215709, ""[20.0, 21.0]"": 1280, ""[20.0, 22.0]"": 467, ""[20.0, 23.0]"": 94092, ""[20.0, 24.0]"": 44895, ""[20.0, 25.0]"": 310, ""[20.0, 26.0]"": 617, ""[21.0, 21.0]"": 3, ""[21.0, 22.0]"": 2, ""[21.0, 23.0]"": 267, ""[21.0, 24.0]"": 128, ""[22.0, 22.0]"": 1, ""[22.0, 23.0]"": 85, ""[22.0, 24.0]"": 38, ""[23.0, 23.0]"": 11207, ""[23.0, 24.0]"": 11003, ""[23.0, 25.0]"": 93, ""[23.0, 26.0]"": 239, ""[24.0, 24.0]"": 3414, ""[24.0, 25.0]"": 36, ""[24.0, 26.0]"": 182, ""[25.0, 25.0]"": 2, ""[26.0, 26.0]"": 4}"	"{""16.0"": 77098.64, ""18.0"": 0.0, ""20.0"": 443217.29, ""21.0"": 1564.95, ""22.0"": 1124.87, ""23.0"": 91424.38, ""24.0"": 44768.31, ""25.0"": 416.02, ""26.0"": 772.54}"	"{""16.0"": 77095, ""20.0"": 443586, ""21.0"": 1309, ""22.0"": 494, ""23.0"": 92571, ""24.0"": 44591, ""25.0"": 254, ""26.0"": 476}"	"{""[16.0, 16.0]"": 4498, ""[16.0, 20.0]"": 51674, ""[16.0, 21.0]"": 132, ""[16.0, 22.0]"": 64, ""[16.0, 23.0]"": 10809, ""[16.0, 24.0]"": 5342, ""[16.0, 25.0]"": 24, ""[16.0, 26.0]"": 54, ""[20.0, 20.0]"": 149230, ""[20.0, 21.0]"": 899, ""[20.0, 22.0]"": 343, ""[20.0, 23.0]"": 62006, ""[20.0, 24.0]"": 29721, ""[20.0, 25.0]"": 175, ""[20.0, 26.0]"": 308, ""[21.0, 21.0]"": 1, ""[21.0, 22.0]"": 2, ""[21.0, 23.0]"": 189, ""[21.0, 24.0]"": 85, ""[22.0, 22.0]"": 1, ""[22.0, 23.0]"": 53, ""[22.0, 24.0]"": 30, ""[23.0, 23.0]"": 6537, ""[23.0, 24.0]"": 6326, ""[23.0, 25.0]"": 39, ""[23.0, 26.0]"": 75, ""[24.0, 24.0]"": 1517, ""[24.0, 25.0]"": 14, ""[24.0, 26.0]"": 39, ""[25.0, 25.0]"": 1}"	0.19041157684812088	0.5109518346489907	1.444732140661237	0.2851651009546098	"{""16.0"": 1.0, ""18.0"": ""NaN"", ""20.0"": 1.0, ""21.0"": 0.97, ""22.0"": 0.69, ""23.0"": 0.99, ""24.0"": 0.99, ""25.0"": 0.6, ""26.0"": 0.74}"	5.42e-16	0.004197692319804539	0.012180829926199899	0.116771	False
9	9_21878223_22250503	22081275	22081293	22081273	STR_1472996	1	T	17.0,18.0,19.0,20.0,21.0	19.0	"{""17.0"": 10199.31, ""18.0"": 473992.29, ""19.0"": 472489.63, ""20.0"": 18074.64, ""21.0"": 64.63}"	"{""17.0"": 8843, ""18.0"": 475257, ""19.0"": 479121, ""20.0"": 11560, ""21.0"": 37}"	"{""[17.0, 17.0]"": 198, ""[17.0, 18.0]"": 4947, ""[17.0, 19.0]"": 3366, ""[17.0, 20.0]"": 132, ""[17.0, 21.0]"": 2, ""[18.0, 18.0]"": 117012, ""[18.0, 19.0]"": 230638, ""[18.0, 20.0]"": 5617, ""[18.0, 21.0]"": 31, ""[19.0, 19.0]"": 119735, ""[19.0, 20.0]"": 5644, ""[19.0, 21.0]"": 3, ""[20.0, 20.0]"": 83, ""[20.0, 21.0]"": 1}"	"{""17.0"": 4934.42, ""18.0"": 312898.31, ""19.0"": 330644.75, ""20.0"": 11897.24, ""21.0"": 2.01}"	"{""17.0"": 4013, ""18.0"": 313610, ""19.0"": 335152, ""20.0"": 7601}"	"{""[17.0, 17.0]"": 15, ""[17.0, 18.0]"": 1907, ""[17.0, 19.0]"": 2026, ""[17.0, 20.0]"": 50, ""[18.0, 18.0]"": 74437, ""[18.0, 19.0]"": 159264, ""[18.0, 20.0]"": 3565, ""[19.0, 19.0]"": 84984, ""[19.0, 20.0]"": 3894, ""[20.0, 20.0]"": 46}"	0.025491010260158622	0.5167308308143074	1.1256563478475852	0.7605797780525397	"{""17.0"": 0.93, ""18.0"": 1.0, ""19.0"": 1.0, ""20.0"": 0.91, ""21.0"": ""NaN""}"	7.33e-17	0.015185286687454808	0.011765178738950246	0.408069	False
